"","Survived","Pclass","Sex","Age","Fare","Embarked","Deck_Level","Title","total_family"
"46",0,3,"male",25,8.05,"S","E","Mr",0
"47",0,3,"male",25,15.5,"Q","S","Mr",1
"48",1,3,"female",21.5,7.75,"Q","F","Miss",0
"49",0,3,"male",25,21.6792,"C","S","Mr",2
"50",0,3,"female",18,17.8,"S","S","Mrs",1
"51",0,3,"male",7,39.6875,"S","S","Master",5
"52",0,3,"male",21,7.8,"S","S","Mr",0
"53",1,1,"female",49,76.7292,"C","D","Mrs",1
"54",1,2,"female",29,26,"S","F","Mrs",1
"55",0,1,"male",65,61.9792,"C","B","Mr",1
"56",1,1,"male",40,35.5,"S","C","Mr",0
"57",1,2,"female",21,10.5,"S","F","Miss",0
"58",0,3,"male",28.5,7.2292,"C","S","Mr",0
"59",1,2,"female",5,27.75,"S","C","Miss",3
"60",0,3,"male",11,46.9,"S","S","Master",7
"61",0,3,"male",22,7.2292,"C","S","Mr",0
"62",1,1,"female",38,80,"","B","Miss",0
"63",0,1,"male",45,83.475,"S","C","Mr",1
"64",0,3,"male",4,27.9,"S","S","Master",5
"65",0,1,"male",40,27.7208,"C","B","Mr",0
"66",1,3,"male",25,15.2458,"C","S","Master",2
"67",1,2,"female",29,10.5,"S","F","Mrs",0
"68",0,3,"male",19,8.1583,"S","S","Mr",0
"69",1,3,"female",17,7.925,"S","S","Miss",6
"70",0,3,"male",26,8.6625,"S","S","Mr",2
"71",0,2,"male",32,10.5,"S","F","Mr",0
"72",0,3,"female",16,46.9,"S","S","Miss",7
"73",0,2,"male",21,73.5,"S","M","Mr",0
"74",0,3,"male",26,14.4542,"C","S","Mr",1
"75",1,3,"male",32,56.4958,"S","S","Mr",0
"76",0,3,"male",25,7.65,"S","F","Mr",0
"77",0,3,"male",25,7.8958,"S","S","Mr",0
"78",0,3,"male",25,8.05,"S","E","Mr",0
"79",1,2,"male",0.83,29,"S","M","Master",2
"80",1,3,"female",30,12.475,"S","E","Miss",0
"81",0,3,"male",22,9,"S","S","Mr",0
"82",1,3,"male",29,9.5,"S","S","Mr",0
"83",1,3,"female",21.5,7.7875,"Q","S","Miss",0
"84",0,1,"male",28,47.1,"S",NA,"Mr",0
"85",1,2,"female",17,10.5,"S","F","Miss",0
"86",1,3,"female",33,15.85,"S","S","Mrs",3
"87",0,3,"male",16,34.375,"S","S","Mr",4
"88",0,3,"male",25,8.05,"S","E","Mr",0
"89",1,1,"female",23,263,"S","C","Miss",5
"90",0,3,"male",24,8.05,"S","E","Mr",0
"91",0,3,"male",29,8.05,"S","E","Mr",0
"92",0,3,"male",20,7.8542,"S","S","Mr",0
"93",0,1,"male",46,61.175,"S","E","Mr",1
"94",0,3,"male",26,20.575,"S","S","Mr",3
"95",0,3,"male",59,7.25,"S","S","Mr",0
"96",0,3,"male",25,8.05,"S","E","Mr",0
"97",0,1,"male",71,34.6542,"C","A","Mr",0
"98",1,1,"male",23,63.3583,"C","D","Mr",1
"99",1,2,"female",34,23,"S","M","Mrs",1
"100",0,2,"male",34,26,"S","F","Mr",1
"101",0,3,"female",28,7.8958,"S","S","Miss",0
"102",0,3,"male",25,7.8958,"S","S","Mr",0
"103",0,1,"male",21,77.2875,"S","D","Mr",1
"104",0,3,"male",33,8.6542,"S","S","Mr",0
"105",0,3,"male",37,7.925,"S","S","Mr",2
"106",0,3,"male",28,7.8958,"S","S","Mr",0
"107",1,3,"female",21,7.65,"S","F","Miss",0
"108",1,3,"male",25,7.775,"S","S","Mr",0
"109",0,3,"male",38,7.8958,"S","S","Mr",0
"110",1,3,"female",21.5,24.15,"Q","S","Miss",1
"111",0,1,"male",47,52,"S","C","Mr",0
"112",0,3,"female",14.5,14.4542,"C","S","Miss",1
"113",0,3,"male",22,8.05,"S","E","Mr",0
"114",0,3,"female",20,9.825,"S","S","Miss",1
"115",0,3,"female",17,14.4583,"C","S","Miss",0
"116",0,3,"male",21,7.925,"S","S","Mr",0
"117",0,3,"male",70.5,7.75,"Q","F","Mr",0
"118",0,2,"male",29,21,"S","M","Mr",1
"119",0,1,"male",24,247.5208,"C","B","Mr",1
"120",0,3,"female",2,31.275,"S","S","Miss",6
"121",0,2,"male",21,73.5,"S","M","Mr",2
"122",0,3,"male",25,8.05,"S","E","Mr",0
"123",0,2,"male",32.5,30.0708,"C","M","Mr",1
"124",1,2,"female",32.5,13,"S","E","Miss",0
"125",0,1,"male",54,77.2875,"S","D","Mr",1
"126",1,3,"male",12,11.2417,"C","S","Master",1
"127",0,3,"male",25,7.75,"Q","F","Mr",0
"128",1,3,"male",24,7.1417,"S","S","Mr",0
"129",1,3,"female",21.5,22.3583,"C","F","Miss",2
"130",0,3,"male",45,6.975,"S","S","Mr",0
"131",0,3,"male",33,7.8958,"C","S","Mr",0
"132",0,3,"male",20,7.05,"S","S","Mr",0
"133",0,3,"female",47,14.5,"S","S","Mrs",1
"134",1,2,"female",29,26,"S","F","Mrs",1
"135",0,2,"male",25,13,"S","D","Mr",0
"136",0,2,"male",23,15.0458,"C","M","Mr",0
"137",1,1,"female",19,26.2833,"S","D","Miss",2
"138",0,1,"male",37,53.1,"S","C","Mr",1
"139",0,3,"male",16,9.2167,"S","S","Mr",0
"140",0,1,"male",24,79.2,"C","B","Mr",0
"141",0,3,"female",21.5,15.2458,"C","S","Mrs",2
"142",1,3,"female",22,7.75,"S","F","Miss",0
"143",1,3,"female",24,15.85,"S","S","Mrs",1
"144",0,3,"male",19,6.75,"Q","S","Mr",0
"145",0,2,"male",18,11.5,"S","M","Mr",0
"146",0,2,"male",19,36.75,"S","M","Mr",2
"147",1,3,"male",27,7.7958,"S","S","Mr",0
"148",0,3,"female",9,34.375,"S","S","Miss",4
"149",0,2,"male",36.5,26,"S","F","Mr",2
"150",0,2,"male",42,13,"S","D","Rev",0
"151",0,2,"male",51,12.525,"S","M","Rev",0
"152",1,1,"female",22,66.6,"S","C","Mrs",1
"153",0,3,"male",55.5,8.05,"S","E","Mr",0
"154",0,3,"male",40.5,14.5,"S","S","Mr",2
"155",0,3,"male",25,7.3125,"S","S","Mr",0
"156",0,1,"male",51,61.3792,"C",NA,"Mr",1
"157",1,3,"female",16,7.7333,"Q","E","Miss",0
"158",0,3,"male",30,8.05,"S","E","Mr",0
"159",0,3,"male",25,8.6625,"S","S","Mr",0
"160",0,3,"male",25,69.55,"S","S","Master",10
"161",0,3,"male",44,16.1,"S","S","Mr",1
"162",1,2,"female",40,15.75,"S","M","Mrs",0
"163",0,3,"male",26,7.775,"S","S","Mr",0
"164",0,3,"male",17,8.6625,"S","S","Mr",0
"165",0,3,"male",1,39.6875,"S","S","Master",5
"166",1,3,"male",9,20.525,"S","S","Master",2
"167",1,1,"female",35,55,"S","E","Mrs",1
"168",0,3,"female",45,27.9,"S","S","Mrs",5
"169",0,1,"male",40,25.925,"S",NA,"Mr",0
"170",0,3,"male",28,56.4958,"S","S","Mr",0
"171",0,1,"male",61,33.5,"S","B","Mr",0
"172",0,3,"male",4,29.125,"Q","S","Master",5
"173",1,3,"female",1,11.1333,"S","S","Miss",2
"174",0,3,"male",21,7.925,"S","S","Mr",0
"175",0,1,"male",56,30.6958,"C","A","Mr",0
"176",0,3,"male",18,7.8542,"S","S","Mr",2
"177",0,3,"male",25,25.4667,"S","S","Master",4
"178",0,1,"female",50,28.7125,"C","C","Miss",0
"179",0,2,"male",30,13,"S","D","Mr",0
"180",0,3,"male",36,0,"S","S","Mr",0
"181",0,3,"female",21.5,69.55,"S","S","Miss",10
"182",0,2,"male",30,15.05,"C","M","Mr",0
"183",0,3,"male",9,31.3875,"S","S","Master",6
"184",1,2,"male",1,39,"S","F","Master",3
"185",1,3,"female",4,22.025,"S","S","Miss",2
"186",0,1,"male",40,50,"S","A","Mr",0
"187",1,3,"female",21.5,15.5,"Q","S","Mrs",1
"188",1,1,"male",45,26.55,"S","C","Mr",0
"189",0,3,"male",40,15.5,"Q","S","Mr",2
"190",0,3,"male",36,7.8958,"S","S","Mr",0
"191",1,2,"female",32,13,"S","D","Mrs",0
"192",0,2,"male",19,13,"S","D","Mr",0
"193",1,3,"female",19,7.8542,"S","S","Miss",1
"194",1,2,"male",3,26,"S","F","Master",2
"195",1,1,"female",44,27.7208,"C","B","Mrs",0
"196",1,1,"female",58,146.5208,"C","B","Miss",0
"197",0,3,"male",25,7.75,"Q","F","Mr",0
"198",0,3,"male",42,8.4042,"S","S","Mr",1
"199",1,3,"female",21.5,7.75,"Q","F","Miss",0
"200",0,2,"female",24,13,"S","D","Miss",0
"201",0,3,"male",28,9.5,"S","S","Mr",0
"202",0,3,"male",25,69.55,"S","S","Mr",10
"203",0,3,"male",34,6.4958,"S","S","Mr",0
"204",0,3,"male",45.5,7.225,"C","S","Mr",0
"205",1,3,"male",18,8.05,"S","E","Mr",0
"206",0,3,"female",2,10.4625,"S","G","Miss",1
"207",0,3,"male",32,15.85,"S","S","Mr",1
"208",1,3,"male",26,18.7875,"C","S","Mr",0
"209",1,3,"female",16,7.75,"Q","F","Miss",0
"210",1,1,"male",40,31,"C","A","Mr",0
"211",0,3,"male",24,7.05,"S","S","Mr",0
"212",1,2,"female",35,21,"S","M","Miss",0
"213",0,3,"male",22,7.25,"S","S","Mr",0
"214",0,2,"male",30,13,"S","D","Mr",0
"215",0,3,"male",25,7.75,"Q","F","Mr",1
"216",1,1,"female",31,113.275,"C","D","Miss",1
"217",1,3,"female",27,7.925,"S","S","Miss",0
"218",0,2,"male",42,27,"S","M","Mr",1
"219",1,1,"female",32,76.2917,"C","D","Miss",0
"220",0,2,"male",30,10.5,"S","F","Mr",0
"221",1,3,"male",16,8.05,"S","E","Mr",0
"222",0,2,"male",27,13,"S","D","Mr",0
"223",0,3,"male",51,8.05,"S","E","Mr",0
"224",0,3,"male",25,7.8958,"S","S","Mr",0
"225",1,1,"male",38,90,"S","C","Mr",1
"226",0,3,"male",22,9.35,"S","S","Mr",0
"227",1,2,"male",19,10.5,"S","F","Mr",0
"228",0,3,"male",20.5,7.25,"S","S","Mr",0
"229",0,2,"male",18,13,"S","D","Mr",0
"230",0,3,"female",21.5,25.4667,"S","S","Miss",4
"231",1,1,"female",35,83.475,"S","C","Mrs",1
"232",0,3,"male",29,7.775,"S","S","Mr",0
"233",0,2,"male",59,13.5,"S","M","Mr",0
"234",1,3,"female",5,31.3875,"S","S","Miss",6
"235",0,2,"male",24,10.5,"S","F","Mr",0
"236",0,3,"female",21.5,7.55,"S","S","Miss",0
"237",0,2,"male",44,26,"S","F","Mr",1
"238",1,2,"female",8,26.25,"S","M","Miss",2
"239",0,2,"male",19,10.5,"S","F","Mr",0
"240",0,2,"male",33,12.275,"S","M","Mr",0
"241",0,3,"female",21.5,14.4542,"C","S","Miss",1
"242",1,3,"female",21.5,15.5,"Q","S","Miss",1
"243",0,2,"male",29,10.5,"S","F","Mr",0
"244",0,3,"male",22,7.125,"S","S","Mr",0
"245",0,3,"male",30,7.225,"C","S","Mr",0
"246",0,1,"male",44,90,"Q","C","Dr",2
"247",0,3,"female",25,7.775,"S","S","Miss",0
"248",1,2,"female",24,14.5,"S","M","Mrs",2
"249",1,1,"male",37,52.5542,"S","D","Mr",2
"250",0,2,"male",54,26,"S","F","Rev",1
"251",0,3,"male",25,7.25,"S","S","Mr",0
"252",0,3,"female",29,10.4625,"S","G","Mrs",2
"253",0,1,"male",62,26.55,"S","C","Mr",0
"254",0,3,"male",30,16.1,"S","S","Mr",1
"255",0,3,"female",41,20.2125,"S","S","Mrs",2
"256",1,3,"female",29,15.2458,"C","S","Mrs",2
"257",1,1,"female",35,79.2,"C","B","Mrs",0
"258",1,1,"female",30,86.5,"S","B","Miss",0
"259",1,1,"female",35,512.3292,"C","B","Miss",0
"260",1,2,"female",50,26,"S","F","Mrs",1
"261",0,3,"male",25,7.75,"Q","F","Mr",0
"262",1,3,"male",3,31.3875,"S","S","Master",6
"263",0,1,"male",52,79.65,"S","E","Mr",2
"264",0,1,"male",40,0,"S","B","Mr",0
"265",0,3,"female",21.5,7.75,"Q","F","Miss",0
"266",0,2,"male",36,10.5,"S","F","Mr",0
"267",0,3,"male",16,39.6875,"S","S","Mr",5
"268",1,3,"male",25,7.775,"S","S","Mr",1
"269",1,1,"female",58,153.4625,"S","C","Mrs",1
"270",1,1,"female",35,135.6333,"S","C","Miss",0
"271",0,1,"male",40,31,"S","B","Mr",0
"272",1,3,"male",25,0,"S","S","Mr",0
"273",1,2,"female",41,19.5,"S","M","Mrs",1
"274",0,1,"male",37,29.7,"C","C","Mr",1
"275",1,3,"female",21.5,7.75,"Q","F","Miss",0
"276",1,1,"female",63,77.9583,"S","D","Miss",1
"277",0,3,"female",45,7.75,"S","F","Miss",0
"278",0,2,"male",30,0,"S","M","Mr",0
"279",0,3,"male",7,29.125,"Q","S","Master",5
"280",1,3,"female",35,20.25,"S","S","Mrs",2
"281",0,3,"male",65,7.75,"Q","F","Mr",0
"282",0,3,"male",28,7.8542,"S","S","Mr",0
"283",0,3,"male",16,9.5,"S","S","Mr",0
"284",1,3,"male",19,8.05,"S","E","Mr",0
"285",0,1,"male",40,26,"S","A","Mr",0
"286",0,3,"male",33,8.6625,"C","S","Mr",0
"287",1,3,"male",30,9.5,"S","S","Mr",0
"288",0,3,"male",22,7.8958,"S","S","Mr",0
"289",1,2,"male",42,13,"S","D","Mr",0
"290",1,3,"female",22,7.75,"Q","F","Miss",0
"291",1,1,"female",26,78.85,"S","C","Miss",0
"292",1,1,"female",19,91.0792,"C","B","Mrs",1
"293",0,2,"male",36,12.875,"C","D","Mr",0
"294",0,3,"female",24,8.85,"S","S","Miss",0
"295",0,3,"male",24,7.8958,"S","S","Mr",0
"296",0,1,"male",40,27.7208,"C","B","Mr",0
"297",0,3,"male",23.5,7.2292,"C","S","Mr",0
"298",0,1,"female",2,151.55,"S","C","Miss",3
"299",1,1,"male",40,30.5,"S","C","Mr",0
"300",1,1,"female",50,247.5208,"C","B","Mrs",1
"301",1,3,"female",21.5,7.75,"Q","F","Miss",0
"302",1,3,"male",25,23.25,"Q","S","Mr",2
"303",0,3,"male",19,0,"S","S","Mr",0
"304",1,2,"female",28,12.35,"Q","E","Miss",0
"305",0,3,"male",25,8.05,"S","E","Mr",0
"306",1,1,"male",0.92,151.55,"S","C","Master",3
"307",1,1,"female",35,110.8833,"C","C","Miss",0
"308",1,1,"female",17,108.9,"C","C","Mrs",1
"309",0,2,"male",30,24,"C","M","Mr",1
"310",1,1,"female",30,56.9292,"C","E","Miss",0
"311",1,1,"female",24,83.1583,"C","C","Miss",0
"312",1,1,"female",18,262.375,"C","B","Miss",4
"313",0,2,"female",26,26,"S","F","Mrs",2
"314",0,3,"male",28,7.8958,"S","S","Mr",0
"315",0,2,"male",43,26.25,"S","M","Mr",2
"316",1,3,"female",26,7.8542,"S","S","Miss",0
"317",1,2,"female",24,26,"S","F","Mrs",1
"318",0,2,"male",54,14,"S","M","Dr",0
"319",1,1,"female",31,164.8667,"S","C","Miss",2
"320",1,1,"female",40,134.5,"C","E","Mrs",2
"321",0,3,"male",22,7.25,"S","S","Mr",0
"322",0,3,"male",27,7.8958,"S","S","Mr",0
"323",1,2,"female",30,12.35,"Q","E","Miss",0
"324",1,2,"female",22,29,"S","M","Mrs",2
"325",0,3,"male",25,69.55,"S","S","Mr",10
"326",1,1,"female",36,135.6333,"C","C","Miss",0
"327",0,3,"male",61,6.2375,"S","S","Mr",0
"328",1,2,"female",36,13,"S","D","Mrs",0
"329",1,3,"female",31,20.525,"S","S","Mrs",2
"330",1,1,"female",16,57.9792,"C","B","Miss",1
"331",1,3,"female",21.5,23.25,"Q","S","Miss",2
"332",0,1,"male",45.5,28.5,"S","C","Mr",0
"333",0,1,"male",38,153.4625,"S","C","Mr",1
"334",0,3,"male",16,18,"S","S","Mr",2
"335",1,1,"female",35,133.65,"S",NA,"Mrs",1
"336",0,3,"male",25,7.8958,"S","S","Mr",0
"337",0,1,"male",29,66.6,"S","C","Mr",1
"338",1,1,"female",41,134.5,"C","E","Miss",0
"339",1,3,"male",45,8.05,"S","E","Mr",0
"340",0,1,"male",45,35.5,"S","T","Mr",0
"341",1,2,"male",2,26,"S","F","Master",2
"342",1,1,"female",24,263,"S","C","Miss",5
"343",0,2,"male",28,13,"S","D","Mr",0
"344",0,2,"male",25,13,"S","D","Mr",0
"345",0,2,"male",36,13,"S","D","Mr",0
"346",1,2,"female",24,13,"S","F","Miss",0
"347",1,2,"female",40,13,"S","D","Miss",0
"348",1,3,"female",21.5,16.1,"S","S","Mrs",1
"349",1,3,"male",3,15.9,"S","S","Master",2
"350",0,3,"male",42,8.6625,"S","S","Mr",0
"351",0,3,"male",23,9.225,"S","S","Mr",0
"352",0,1,"male",40,35,"S","C","Mr",0
"353",0,3,"male",15,7.2292,"C","S","Mr",2
"354",0,3,"male",25,17.8,"S","S","Mr",1
"355",0,3,"male",25,7.225,"C","S","Mr",0
"356",0,3,"male",28,9.5,"S","S","Mr",0
"357",1,1,"female",22,55,"S","E","Miss",1
"358",0,2,"female",38,13,"S","D","Miss",0
"359",1,3,"female",21.5,7.8792,"Q","S","Miss",0
"360",1,3,"female",21.5,7.8792,"Q","S","Miss",0
"361",0,3,"male",40,27.9,"S","S","Mr",5
"362",0,2,"male",29,27.7208,"C","B","Mr",1
"363",0,3,"female",45,14.4542,"C","S","Mrs",1
"364",0,3,"male",35,7.05,"S","S","Mr",0
"365",0,3,"male",25,15.5,"Q","S","Mr",1
"366",0,3,"male",30,7.25,"S","S","Mr",0
"367",1,1,"female",60,75.25,"C","D","Mrs",1
"368",1,3,"female",21.5,7.2292,"C","S","Mrs",0
"369",1,3,"female",21.5,7.75,"Q","F","Miss",0
"370",1,1,"female",24,69.3,"C","B","Mme",0
"371",1,1,"male",25,55.4417,"C","E","Mr",1
"372",0,3,"male",18,6.4958,"S","S","Mr",1
"373",0,3,"male",19,8.05,"S","E","Mr",0
"374",0,1,"male",22,135.6333,"C","C","Mr",0
"375",0,3,"female",3,21.075,"S","S","Miss",4
"376",1,1,"female",35,82.1708,"C",NA,"Mrs",1
"377",1,3,"female",22,7.25,"S","S","Miss",0
"378",0,1,"male",27,211.5,"C","C","Mr",2
"379",0,3,"male",20,4.0125,"C","S","Mr",0
"380",0,3,"male",19,7.775,"S","S","Mr",0
"381",1,1,"female",42,227.525,"C","C","Miss",0
"382",1,3,"female",1,15.7417,"C","S","Miss",2
"383",0,3,"male",32,7.925,"S","S","Mr",0
"384",1,1,"female",35,52,"S","C","Mrs",1
"385",0,3,"male",25,7.8958,"S","S","Mr",0
"386",0,2,"male",18,73.5,"S","M","Mr",0
"387",0,3,"male",1,46.9,"S","S","Master",7
"388",1,2,"female",36,13,"S","D","Miss",0
"389",0,3,"male",25,7.7292,"Q","S","Mr",0
"390",1,2,"female",17,12,"C","M","Miss",0
"391",1,1,"male",36,120,"S","B","Mr",3
"392",1,3,"male",21,7.7958,"S","S","Mr",0
"393",0,3,"male",28,7.925,"S","S","Mr",2
"394",1,1,"female",23,113.275,"C","D","Miss",1
"395",1,3,"female",24,16.7,"S","G","Mrs",2
"396",0,3,"male",22,7.7958,"S","S","Mr",0
"397",0,3,"female",31,7.8542,"S","S","Miss",0
"398",0,2,"male",46,26,"S","F","Mr",0
"399",0,2,"male",23,10.5,"S","F","Dr",0
"400",1,2,"female",28,12.65,"S","M","Mrs",0
"401",1,3,"male",39,7.925,"S","S","Mr",0
"402",0,3,"male",26,8.05,"S","E","Mr",0
"403",0,3,"female",21,9.825,"S","S","Miss",1
"404",0,3,"male",28,15.85,"S","S","Mr",1
"405",0,3,"female",20,8.6625,"S","S","Miss",0
"406",0,2,"male",34,21,"S","M","Mr",1
"407",0,3,"male",51,7.75,"S","F","Mr",0
"408",1,2,"male",3,18.75,"S","M","Master",2
"409",0,3,"male",21,7.775,"S","S","Mr",0
"410",0,3,"female",21.5,25.4667,"S","S","Miss",4
"411",0,3,"male",25,7.8958,"S","S","Mr",0
"412",0,3,"male",25,6.8583,"Q","S","Mr",0
"413",1,1,"female",33,90,"Q","C","Miss",1
"414",0,2,"male",30,0,"S","M","Mr",0
"415",1,3,"male",44,7.925,"S","S","Mr",0
"416",0,3,"female",21.5,8.05,"S","E","Mrs",0
"417",1,2,"female",34,32.5,"S","M","Mrs",2
"418",1,2,"female",18,13,"S","D","Miss",2
"419",0,2,"male",30,13,"S","D","Mr",0
"420",0,3,"female",10,24.15,"S","S","Miss",2
"421",0,3,"male",25,7.8958,"C","S","Mr",0
"422",0,3,"male",21,7.7333,"Q","E","Mr",0
"423",0,3,"male",29,7.875,"S","S","Mr",0
"424",0,3,"female",28,14.4,"S","S","Mrs",2
"425",0,3,"male",18,20.2125,"S","S","Mr",2
"426",0,3,"male",25,7.25,"S","S","Mr",0
"427",1,2,"female",28,26,"S","F","Mrs",1
"428",1,2,"female",19,26,"S","F","Miss",0
"429",0,3,"male",25,7.75,"Q","F","Mr",0
"430",1,3,"male",32,8.05,"S","E","Mr",0
"431",1,1,"male",28,26.55,"S","C","Mr",0
"432",1,3,"female",21.5,16.1,"S","S","Mrs",1
"433",1,2,"female",42,26,"S","F","Mrs",1
"434",0,3,"male",17,7.125,"S","S","Mr",0
"435",0,1,"male",50,55.9,"S","E","Mr",1
"436",1,1,"female",14,120,"S","B","Miss",3
"437",0,3,"female",21,34.375,"S","S","Miss",4
"438",1,2,"female",24,18.75,"S","M","Mrs",5
"439",0,1,"male",64,263,"S","C","Mr",5
"440",0,2,"male",31,10.5,"S","F","Mr",0
"441",1,2,"female",45,26.25,"S","M","Mrs",2
"442",0,3,"male",20,9.5,"S","S","Mr",0
"443",0,3,"male",25,7.775,"S","S","Mr",1
"444",1,2,"female",28,13,"S","D","Ms",0
"445",1,3,"male",25,8.1125,"S","S","Mr",0
"446",1,1,"male",4,81.8583,"S","A","Master",2
"447",1,2,"female",13,19.5,"S","M","Miss",1
"448",1,1,"male",34,26.55,"S","C","Mr",0
"449",1,3,"female",5,19.2583,"C","S","Miss",3
"450",1,1,"male",52,30.5,"S","C","Major",0
"451",0,2,"male",36,27.75,"S","C","Mr",3
"452",0,3,"male",25,19.9667,"S","S","Mr",1
"453",0,1,"male",30,27.75,"C","C","Mr",0
"454",1,1,"male",49,89.1042,"C","C","Mr",1
"455",0,3,"male",25,8.05,"S","E","Mr",0
"456",1,3,"male",29,7.8958,"C","S","Mr",0
"457",0,1,"male",65,26.55,"S","E","Mr",0
"458",1,1,"female",35,51.8625,"S","D","Mrs",1
"459",1,2,"female",50,10.5,"S","F","Miss",0
"460",0,3,"male",25,7.75,"Q","F","Mr",0
"461",1,1,"male",48,26.55,"S","E","Mr",0
"462",0,3,"male",34,8.05,"S","E","Mr",0
"463",0,1,"male",47,38.5,"S","E","Mr",0
"464",0,2,"male",48,13,"S","D","Mr",0
"465",0,3,"male",25,8.05,"S","E","Mr",0
"466",0,3,"male",38,7.05,"S","S","Mr",0
"467",0,2,"male",30,0,"S","M","Mr",0
"468",0,1,"male",56,26.55,"S","C","Mr",0
"469",0,3,"male",25,7.725,"Q","S","Mr",0
"470",1,3,"female",0.75,19.2583,"C","S","Miss",3
"471",0,3,"male",25,7.25,"S","S","Mr",0
"472",0,3,"male",38,8.6625,"S","S","Mr",0
"473",1,2,"female",33,27.75,"S","C","Mrs",3
"474",1,2,"female",23,13.7917,"C","D","Mrs",0
"475",0,3,"female",22,9.8375,"S","S","Miss",0
"476",0,1,"male",40,52,"S","A","Mr",0
"477",0,2,"male",34,21,"S","M","Mr",1
"478",0,3,"male",29,7.0458,"S","S","Mr",1
"479",0,3,"male",22,7.5208,"S","S","Mr",0
"480",1,3,"female",2,12.2875,"S","S","Miss",1
"481",0,3,"male",9,46.9,"S","S","Master",7
"482",0,2,"male",30,0,"S","M","Mr",0
"483",0,3,"male",50,8.05,"S","E","Mr",0
"484",1,3,"female",63,9.5875,"S","S","Mrs",0
"485",1,1,"male",25,91.0792,"C","B","Mr",1
"486",0,3,"female",21.5,25.4667,"S","S","Miss",4
"487",1,1,"female",35,90,"S","C","Mrs",1
"488",0,1,"male",58,29.7,"C","B","Mr",0
"489",0,3,"male",30,8.05,"S","E","Mr",0
"490",1,3,"male",9,15.9,"S","S","Master",2
"491",0,3,"male",25,19.9667,"S","S","Mr",1
"492",0,3,"male",21,7.25,"S","S","Mr",0
"493",0,1,"male",55,30.5,"S","C","Mr",0
"494",0,1,"male",71,49.5042,"C","C","Mr",0
"495",0,3,"male",21,8.05,"S","E","Mr",0
"496",0,3,"male",25,14.4583,"C","S","Mr",0
"497",1,1,"female",54,78.2667,"C","D","Miss",1
"498",0,3,"male",25,15.1,"S","S","Mr",0
"499",0,1,"female",25,151.55,"S","C","Mrs",3
"500",0,3,"male",24,7.7958,"S","S","Mr",0
"501",0,3,"male",17,8.6625,"S","S","Mr",0
"502",0,3,"female",21,7.75,"Q","F","Miss",0
"503",0,3,"female",21.5,7.6292,"Q","S","Miss",0
"504",0,3,"female",37,9.5875,"S","S","Miss",0
"505",1,1,"female",16,86.5,"S","B","Miss",0
"506",0,1,"male",18,108.9,"C","C","Mr",1
"507",1,2,"female",33,26,"S","F","Mrs",2
"508",1,1,"male",40,26.55,"S","C","Mr",0
"509",0,3,"male",28,22.525,"S","S","Mr",0
